Name,address_id,Phone,Alternative Phone,Birthday,Race,Hispanic,wheelchair,low_income,disabled,need_caregiver,Notes,Email,Date Registered,Audit
Angela Martin,49,(166)816-982,,1955-03-07,5,,1,1,0,0,Walker required,,2023-11-07,"Audit completed on 01/12/2022, status: Failed"
Leah Freeman,22,(747)739-918,(515)998-338 (neighbor),1985-06-19,5,Yes,0,1,0,1,,danielblack@hayes-weeks.com,2022-07-22,"Audit completed on 10/08/2022, status: Failed"
Bruce Patel,49,(831)391-788,,1954-04-08,5,Yes,1,1,0,0,,,2023-11-29,"Audit completed on 05/16/2024, status: Pending"
Robert Christensen,50,(320)791-298,(683)923-803 (son),1979-02-18,5,,0,1,1,1,Companion dog,,2020-07-21,"Audit completed on 03/27/2020, status: Pending"
Jeffrey Hampton,22,(926)421-498,,1986-08-22,10,,1,1,1,1,,,2022-03-04,"Audit completed on 08/16/2020, status: Pending"
Louis Woods,49,(863)421-777,,1936-02-06,5,Yes,1,1,0,1,Eyesight issues,,2024-03-30,"Audit completed on 10/13/2023, status: Pending"
John Barber,39,(175)750-300,(990)834-163 (neighbor),2004-04-15,5,Yes,0,0,0,1,,,2022-10-23,"Audit completed on 08/30/2023, status: Passed"
Rachel Williams,40,(609)139-136,,1936-07-01,5,,1,0,0,1,,,2023-09-20,"Audit completed on 04/25/2024, status: Pending"
Hannah Coleman,11,(488)686-544,(232)235-160 (friend),1946-08-05,5,Yes,1,1,0,0,,,2020-05-02,"Audit completed on 11/06/2023, status: Failed"
Stephanie Turner,17,(327)169-145,,2004-01-08,5,,1,0,0,0,Companion dog,,2020-01-14,"Audit completed on 04/05/2022, status: Passed"
Susan Garcia,37,(358)499-584,(578)392-499 (friend),1993-01-31,5,,1,1,0,1,Need wheelchair,,2024-09-20,"Audit completed on 06/24/2024, status: Pending"
Donald Maddox,19,(714)584-972,(459)367-654 (daughter),1978-09-07,5,,0,1,0,0,,,2022-03-17,"Audit completed on 07/01/2020, status: Pending"
Matthew Fitzgerald,12,(581)583-197,,1980-11-14,5,,1,1,0,0,Eyesight issues,,2020-12-30,"Audit completed on 07/17/2020, status: Pending"
Jay Ellis,23,(125)838-268,,1976-04-18,5,,0,1,0,1,,,2022-04-25,"Audit completed on 08/22/2021, status: Failed"
Crystal Sosa,28,(807)780-324,(329)436-622 (son),2000-03-03,5,,0,1,0,0,Need wheelchair,jennifer73@yahoo.com,2021-04-30,"Audit completed on 03/24/2021, status: Failed"
Allen Atkins,38,(801)586-184,,1950-08-05,5,,0,0,1,0,,,2024-04-15,"Audit completed on 05/09/2022, status: Pending"
Hannah Hernandez,28,(368)109-664,(735)362-403 (friend),1993-04-06,5,,0,0,0,1,,,2020-02-13,"Audit completed on 07/19/2020, status: Failed"
Kelly Willis,12,(396)689-106,(665)503-111 (son),1990-09-07,5,,0,1,1,1,Hearing aid,,2024-01-06,"Audit completed on 02/04/2024, status: Pending"
Mary Shields,36,(287)915-201,(869)953-139 (neighbor),1971-11-14,1,,1,1,0,1,Companion dog,,2021-10-24,"Audit completed on 05/20/2024, status: Failed"
Angela Griffin,38,(543)472-916,,1956-02-28,5,,1,1,0,1,Walker required,,2023-09-16,"Audit completed on 08/16/2023, status: Passed"
Amanda Edwards,44,(880)463-694,(538)711-191 (son),1950-12-07,5,Yes,1,1,0,1,,,2022-05-17,"Audit completed on 06/19/2023, status: Pending"
Tina Kennedy,36,(537)274-990,,1953-11-10,2,,0,1,0,0,,,2024-03-24,"Audit completed on 10/10/2020, status: Passed"
Jennifer Hudson,7,(388)518-186,(230)401-947 (friend),1999-03-05,5,,0,1,1,0,Need wheelchair,ashleymiller@hotmail.com,2022-06-04,"Audit completed on 01/01/2025, status: Pending"
Todd Hernandez,49,(633)834-716,,1958-11-09,2,,1,0,0,0,Companion dog,,2022-06-11,"Audit completed on 05/21/2023, status: Failed"
Adam Jones,1,(611)761-230,(115)881-102 (neighbor),2005-01-24,5,Yes,0,0,0,1,Companion dog,,2021-09-28,"Audit completed on 02/01/2021, status: Failed"
William Armstrong,31,(767)564-112,(495)985-172 (son),1962-03-17,5,Yes,1,0,0,1,,,2022-09-22,"Audit completed on 03/19/2021, status: Pending"
Brenda Greene,37,(207)710-303,(377)821-483 (friend),1948-04-10,5,Yes,1,1,0,1,Need wheelchair,,2020-06-04,"Audit completed on 11/07/2023, status: Passed"
Shirley Fuentes,13,(960)129-453,,1958-07-30,10,Yes,1,0,0,1,,rhondaduncan@smith.net,2020-03-21,"Audit completed on 05/21/2022, status: Pending"
Justin Watson,28,(290)287-786,(348)137-714 (daughter),1977-10-05,5,,0,0,1,1,,,2021-07-07,"Audit completed on 08/19/2023, status: Failed"
Jessica Kaiser,20,(816)489-667,,1986-10-12,5,,0,0,0,1,,,2024-11-11,"Audit completed on 08/22/2020, status: Failed"
Charles Scott,32,(388)513-652,,1949-04-24,5,Yes,1,1,1,0,Need wheelchair,,2023-05-04,"Audit completed on 08/08/2021, status: Passed"
Melissa Barrett,33,(707)350-272,,1990-11-13,5,,0,1,0,1,,xacosta@short-mack.com,2022-09-30,"Audit completed on 06/01/2022, status: Passed"
David Scott,38,(775)363-439,,1951-03-16,5,Yes,1,1,1,1,Walker required,,2023-11-17,"Audit completed on 04/23/2024, status: Passed"
Shane Morrison,46,(456)104-810,,2000-09-01,10,Yes,1,1,0,0,Companion dog,,2021-05-30,"Audit completed on 01/27/2021, status: Pending"
Laura Gross,49,(936)412-674,(533)598-779 (son),1967-05-22,5,,0,0,1,1,Walker required,harriscrystal@yahoo.com,2021-09-06,"Audit completed on 01/24/2020, status: Failed"
Christian Andrews,25,(904)830-162,(393)532-487 (son),1981-07-26,5,Yes,1,0,0,0,Need wheelchair,,2021-02-18,"Audit completed on 09/13/2023, status: Failed"
Matthew Herman,48,(350)310-186,,1992-03-21,5,,1,0,1,1,,ibowen@yahoo.com,2022-12-05,"Audit completed on 10/21/2024, status: Failed"
Robert Mcintyre,42,(819)397-974,,1937-09-14,5,Yes,1,0,1,1,Eyesight issues,rhodesmegan@king.com,2020-08-07,"Audit completed on 01/29/2020, status: Failed"
Cameron Fletcher,9,(718)692-989,,1975-04-12,5,,0,0,1,1,Companion dog,,2020-06-14,"Audit completed on 09/07/2022, status: Failed"
John Hebert,48,(376)730-682,(763)878-394 (daughter),1972-10-15,10,,1,1,0,1,Walker required,,2024-01-20,"Audit completed on 08/24/2021, status: Pending"
Kelly Bailey,19,(304)856-299,,1936-10-17,5,,0,0,0,1,Companion dog,,2023-08-04,"Audit completed on 06/25/2022, status: Passed"
Kimberly Ferguson,50,(354)602-218,,1983-05-08,5,,1,1,0,0,,,2025-01-22,"Audit completed on 11/24/2024, status: Passed"
Christine Vazquez,6,(807)143-347,,1955-02-28,5,,0,1,1,1,Hearing aid,,2024-11-21,"Audit completed on 01/05/2020, status: Pending"
Morgan Gomez,43,(776)233-546,,1995-04-08,5,Yes,0,1,1,0,Need wheelchair,lovemartin@medina.biz,2020-08-29,"Audit completed on 12/21/2023, status: Failed"
Jesse Perry,19,(259)869-625,(790)227-882 (neighbor),1938-09-02,1,,0,0,1,0,,,2021-07-03,"Audit completed on 09/21/2021, status: Pending"
James Burns,15,(469)251-151,,1972-05-05,5,,0,1,0,1,,,2023-01-16,"Audit completed on 02/05/2020, status: Pending"
Joel Lewis,4,(139)607-325,,1993-09-02,5,,1,0,0,1,,,2021-02-01,"Audit completed on 07/19/2023, status: Passed"
Javier Krueger,40,(607)805-840,(113)241-181 (neighbor),1947-09-11,5,,1,1,0,0,Eyesight issues,,2020-03-17,"Audit completed on 04/09/2024, status: Failed"
Robin Nguyen,24,(354)694-840,(335)557-387 (son),1940-10-04,5,Yes,1,0,1,0,Eyesight issues,,2021-03-07,"Audit completed on 02/28/2023, status: Pending"
Anthony Collins,32,(254)947-359,,1952-04-04,5,,1,0,1,0,Need wheelchair,chaneystephanie@hotmail.com,2021-02-08,"Audit completed on 03/11/2021, status: Passed"
Stephanie Novak,45,(535)987-716,(917)222-136 (daughter),1946-01-22,1,Yes,1,0,0,0,,rodriguezjohn@hotmail.com,2021-10-06,"Audit completed on 07/17/2024, status: Failed"
Sarah Atkinson,2,(285)815-718,,1949-02-15,5,,0,1,1,1,,derekmathis@yahoo.com,2023-10-23,"Audit completed on 07/04/2020, status: Pending"
Jamie Jackson,43,(688)919-568,,1986-08-20,5,Yes,0,1,1,0,Hearing aid,,2023-04-21,"Audit completed on 06/07/2024, status: Pending"
Dustin Moses,34,(118)464-977,,1990-07-24,5,,0,0,0,0,,,2023-02-23,"Audit completed on 08/22/2024, status: Failed"
Jack Cunningham,23,(974)300-610,(598)840-164 (daughter),1941-03-28,5,Yes,1,0,0,0,,,2022-03-18,"Audit completed on 10/02/2020, status: Pending"
Gabriel Stevens,16,(832)694-187,,2001-10-04,5,Yes,0,1,0,1,Companion dog,,2022-05-17,"Audit completed on 12/28/2023, status: Pending"
Jennifer Richardson,38,(594)718-947,,1977-03-19,5,Yes,0,1,0,1,,,2020-11-22,"Audit completed on 11/23/2021, status: Passed"
Dawn Hood,45,(805)115-877,,1982-09-17,5,,1,0,1,1,,opratt@leach.com,2020-01-07,"Audit completed on 03/28/2020, status: Pending"
Catherine Ramsey,32,(478)559-672,,1944-05-25,5,Yes,0,1,1,1,,,2021-02-02,"Audit completed on 01/08/2024, status: Passed"
Jared Wood,14,(364)719-994,,2003-05-31,5,Yes,0,1,1,1,Eyesight issues,,2024-10-04,"Audit completed on 06/16/2020, status: Passed"
Barbara Hernandez,28,(195)126-814,,1995-12-03,5,,1,0,1,0,,,2024-09-02,"Audit completed on 05/04/2024, status: Pending"
Alexis Ross,50,(542)358-478,(805)379-429 (daughter),1947-10-31,1,Yes,0,0,1,0,,,2021-11-05,"Audit completed on 08/06/2022, status: Passed"
Tracey Brown MD,13,(297)135-919,(688)523-211 (son),1943-07-24,5,Yes,0,1,1,1,,,2021-03-14,"Audit completed on 12/27/2022, status: Passed"
Lori Graham,17,(106)945-235,,1945-03-16,5,Yes,1,0,1,1,Walker required,,2024-08-01,"Audit completed on 09/16/2022, status: Pending"
Timothy Ramos,6,(934)290-453,(696)420-443 (son),1951-11-29,5,,1,0,1,1,,,2025-02-05,"Audit completed on 12/31/2022, status: Failed"
Amanda Hawkins,23,(148)323-131,(634)584-535 (neighbor),1990-04-20,5,Yes,1,0,0,1,Companion dog,joseph67@yahoo.com,2020-01-30,"Audit completed on 07/26/2020, status: Failed"
Wendy Robinson,21,(339)969-655,,1935-05-29,5,Yes,1,1,1,1,Eyesight issues,,2024-09-18,"Audit completed on 06/10/2022, status: Pending"
Samantha Lewis,5,(183)676-890,,1954-06-15,1,Yes,0,0,1,0,Walker required,richardsbrian@yahoo.com,2025-02-04,"Audit completed on 12/02/2022, status: Passed"
Daniel Johnson,47,(395)269-398,(163)116-494 (friend),1941-10-30,10,Yes,1,0,0,0,,,2023-04-09,"Audit completed on 08/18/2022, status: Pending"
Kathryn Stone,15,(293)776-944,(413)466-213 (son),1964-03-09,5,Yes,0,0,1,0,Hearing aid,,2024-08-19,"Audit completed on 02/20/2021, status: Failed"
Amber Miller,44,(902)481-526,(753)466-811 (daughter),1962-05-21,5,,0,0,1,1,,,2022-12-19,"Audit completed on 11/12/2024, status: Pending"
Adrian Taylor,12,(596)846-715,(795)163-365 (son),2000-06-12,5,Yes,1,1,1,0,,ibartlett@vasquez.com,2021-07-29,"Audit completed on 01/05/2021, status: Pending"
Andrew Johnson,28,(931)669-609,,1999-01-21,5,Yes,1,0,0,0,Companion dog,,2023-07-05,"Audit completed on 03/21/2022, status: Passed"
Sharon Moreno,46,(133)864-995,(147)761-144 (son),1958-01-12,5,,0,0,0,1,,terryerin@ochoa-ortiz.com,2022-06-27,"Audit completed on 06/06/2022, status: Failed"
Ashley Pena,18,(853)814-415,(593)870-682 (daughter),2002-08-28,5,,1,1,0,1,Hearing aid,,2023-02-07,"Audit completed on 01/28/2021, status: Passed"
William Alexander,16,(587)831-195,(924)568-698 (son),1947-04-22,1,Yes,1,1,1,1,,,2020-09-02,"Audit completed on 11/03/2023, status: Passed"
