Name,address_id,Phone,Alternative Phone,Birthday,Race,Hispanic,wheelchair,new_passenger,low_income,disabled,need_caregiver,Notes,Email,Date Registered,Audit
Amanda Hawkins,23,(148)323-131,(634)584-535 (neighbor),4/20/1990,5,Yes,1,0,0,0,1,Companion dog,joseph67@yahoo.com,1/30/2020,"Audit completed on 07/26/2020, status: Failed"
Wendy Robinson,21,(339)969-655,,5/29/1935,5,Yes,1,0,1,1,1,Eyesight issues,,9/18/2024,"Audit completed on 06/10/2022, status: Pending"
Samantha Lewis,5,(183)676-890,,6/15/1954,1,Yes,0,1,0,1,0,Walker required,richardsbrian@yahoo.com,2/4/2025,"Audit completed on 12/02/2022, status: Passed"
Daniel Johnson,47,(395)269-398,(163)116-494 (friend),10/30/1941,10,Yes,1,0,0,0,0,,,4/9/2023,"Audit completed on 08/18/2022, status: Pending"
Kathryn Stone,15,(293)776-944,(413)466-213 (son),3/9/1964,5,Yes,0,0,0,1,0,Hearing aid,,8/19/2024,"Audit completed on 02/20/2021, status: Failed"
Amber Miller,44,(902)481-526,(753)466-811 (daughter),5/21/1962,5,,0,1,0,1,1,,,12/19/2022,"Audit completed on 11/12/2024, status: Pending"
Adrian Taylor,12,(596)846-715,(795)163-365 (son),6/12/2000,5,Yes,1,0,1,1,0,,ibartlett@vasquez.com,7/29/2021,"Audit completed on 01/05/2021, status: Pending"
Andrew Johnson,28,(931)669-609,,1/21/1999,5,Yes,1,1,0,0,0,Companion dog,,7/5/2023,"Audit completed on 03/21/2022, status: Passed"
Sharon Moreno,46,(133)864-995,(147)761-144 (son),1/12/1958,5,,0,0,0,0,1,,terryerin@ochoa-ortiz.com,6/27/2022,"Audit completed on 06/06/2022, status: Failed"
Ashley Pena,18,(853)814-415,(593)870-682 (daughter),8/28/2002,5,,1,0,1,0,1,Hearing aid,,2/7/2023,"Audit completed on 01/28/2021, status: Passed"
William Alexander,16,(587)831-195,(924)568-698 (son),4/22/1947,1,Yes,1,1,1,1,1,,,9/2/2020,"Audit completed on 11/03/2023, status: Passed"
