Day,Date,Driver,Van,Passenger_Name_and_Phone,Passenger_Address,Destination,Notes_to_Driver,Hours,Amount_Paid,Ride_Count,C,Notes_Date_Reserved,Confirmed_with_Passenger,Driver_Email
Th,02/05/2025,John D. am,5,"Smith, James (555-340-2910)",377 Birch Blvd.,270 Doctor's Office,"60 min, $20, r/t",3.6,34.27,2,l,10/18:tel rqst (JD),10/18:tel,sent
Tu,02/05/2025,Emily R. am,6,"Miller, Mary (555-428-3258)",322 Birch Blvd.,779 Doctor's Office,"Wheelchair, $20",2.1,46.18,3,l,10/18:tel rqst (ER),10/18:tel,
Th,02/11/2025,Mike S. am,8,"Miller, Mary (555-688-9808)",117 Maple Dr.,270 Grocery Store,"60 min, $20, Wheelchair",5.0,19.42,2,m,10/18:tel rqst (MS),10/18:tel,sent
M,02/26/2025,John D. am,5,"Brown, James (555-409-2123)",867 Main St.,737 Library,"60 min, $20, Wheelchair",2.8,29.15,3,m,10/18:tel rqst (JD),10/18:tel,
M,02/06/2025,Mike S. am,5,"Smith, Mary (555-249-2737)",509 Oak Ave.,919 Library,Wheelchair,2.7,37.79,2,m,10/18:tel rqst (MS),10/18:tel,
W,02/07/2025,James B. pm,3,"Brown, John (555-745-6340)",744 Cedar Ln.,304 Pharmacy,"$20, 60 min",2.0,22.13,1,l,10/18:tel rqst (JB),10/18:tel,
Tu,02/26/2025,Mike S. am,3,"Johnson, Patricia (555-142-4925)",122 Birch Blvd.,953 Senior Center,"60 min, $20",1.9,37.25,2,l,10/18:tel rqst (MS),10/18:tel,sent
F,02/12/2025,James B. am,8,"Miller, John (555-740-1426)",353 Oak Ave.,630 Grocery Store,"Wheelchair, $20",4.1,25.61,1,l,10/18:tel rqst (JB),10/18:tel,
Th,03/01/2025,John D. pm,3,"Davis, Mary (555-978-6201)",252 Oak Ave.,756 Grocery Store,"r/t, $20",3.8,36.05,1,m,10/18:tel rqst (JD),10/18:tel,sent
M,02/17/2025,James B. am,3,"Davis, Patricia (555-549-4607)",605 Pine Rd.,342 Library,"60 min, r/t",4.3,14.88,2,l,10/18:tel rqst (JB),10/18:tel,sent
F,02/23/2025,Mike S. pm,5,"Johnson, James (555-775-6042)",144 Cedar Ln.,822 Grocery Store,$20,1.8,26.02,1,l,10/18:tel rqst (MS),10/18:tel,sent
F,02/13/2025,Mike S. pm,3,"Smith, Patricia (555-619-7419)",904 Main St.,584 Pharmacy,"Wheelchair, 60 min",3.4,13.13,3,l,10/18:tel rqst (MS),10/18:tel,sent
